Branch-instructions,Branch-misses,Bus-cycles,Cache-misses,Cache-references,CPU-cycles,Instructions,L1 dcache load misses, L1 dcache loads,L1 dcache stores,L1 icache load misses,LLC-load-misses, LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,class
4326,1225,112586,582,17593,161426,38013,368,17591,18785,2559,3132,10299,3025,9837,2259,15365,7,26,9,0
18118,4470,425256,2795,73372,995043,157735,2765,73542,72720,10285,5316,25904,5370,25887,3104,22328,44,10,2,0
13168,3104,265252,1679,40666,382823,86668,1670,54777,54775,7877,3978,24678,3938,24879,2154,16692,6,39,21,0
23780,5995,487154,3035,39074,375637,82206,1158,45631,45631,6564,2362,31725,2323,31551,1808,13744,6,67,33,0
30973,6454,501059,3071,34384,362075,71481,812,40969,41217,6561,3145,22562,3140,22275,1512,12224,5,100,52,0
32745,6150,451551,3438,35341,445285,73893,1089,43959,43710,6820,3228,25434,3192,26092,1699,13122,4,60,20,0
31410,5209,434501,5201,39311,419100,80984,992,46454,46455,6999,2259,26192,2277,25794,1596,12912,4,113,24,0
15552,4301,433245,2424,42914,457460,89848,620,36470,36470,4752,1240,24622,1242,24564,1504,12451,2,57,33,0
21957,5956,561072,3946,50065,590137,105372,630,39664,39662,5312,684,19119,698,19139,1533,12715,2,63,48,0
14366,3394,547514,1973,42409,535424,89265,620,39000,39001,5448,813,18517,779,18473,1798,15561,3,120,68,0
10223,2308,373155,825,40766,481982,86882,663,41269,41270,5122,691,21401,702,21413,2018,14591,4,61,57,0
8881,1835,284728,566,40504,383044,81955,568,51580,51828,5183,617,18667,611,18618,1705,13318,1,79,34,0
8754,1685,252743,532,34970,318703,72644,2043,44542,44293,4946,5949,38853,6008,39734,1427,12218,2,41,15,0
10661,1968,293687,636,46298,501307,96225,716,36315,36314,5130,10262,40988,10638,40382,1594,15764,3,105,95,0
13893,2619,291038,1857,35735,419122,74603,665,40923,40924,5260,16368,37200,16351,37555,1530,14345,5,36,8,0
20121,5515,408041,3427,38811,749513,80639,611,35803,35802,4537,15334,36212,15348,35851,1510,13967,2,33,7,0
60013,13217,941747,8848,35447,589274,73851,816,47868,47870,5831,9378,21175,8971,20665,3994,28640,178,30,5,0
46787,6288,450251,3276,42004,697389,87203,1043,41511,41510,4951,2359,13692,3083,15906,2092,14132,27,74,14,0
25617,4862,451786,4079,51083,676006,110957,1851,55703,55703,5265,4852,26719,4251,24708,2246,15337,21,157,81,0
7210,1083,119283,1094,49992,616904,104637,904,44099,44100,5264,4775,20336,4655,20269,3916,27122,41,73,20,0
3476,340,36339,36,36618,362753,76595,586,35785,36031,3874,3019,18373,2993,18504,1806,12539,8,45,12,0
3036,292,35029,24,34401,256114,71188,533,36302,36056,4235,4957,22635,5056,22695,1708,13075,2,63,43,0
3318,422,55830,108,34361,285798,71482,534,36298,36297,3805,3920,16241,3801,15862,2205,19520,9,37,13,0
4657,562,54028,64,34382,284905,71987,480,36062,36061,4498,676,3321,673,3579,1599,12802,1,71,80,0
3036,291,29174,25,34633,264553,71556,986,43758,43760,4337,36,1674,34,1392,1475,12572,2,102,101,0
10369,2285,190176,1456,104856,710538,209468,863,43627,43625,4876,405,1840,409,2009,3231,30133,1028,74,58,0
6266,796,87911,562,45443,381231,96783,562,36943,36944,3733,13,990,9,821,20262,199624,229,119,89,0
3316,325,30771,29,38749,294763,84722,811,44860,45108,5676,176,1088,176,1086,2654,17815,209,125,115,0
3883,460,57779,100,54436,471129,118094,742,40823,40575,4607,4427,13979,4591,14258,499,6020,1,131,123,0
3158,302,28131,25,39188,339727,89468,671,39370,39370,4872,5704,17950,5556,17699,297,4344,0,78,46,0
3036,295,33741,24,38767,204305,80759,608,38224,38224,4523,566,2506,552,2499,293,4278,0,41,8,0
3036,298,31003,24,39660,201573,86709,1088,48241,48241,4724,189,2063,186,2324,273,3981,0,75,52,0
3036,295,26070,25,36956,192964,81023,1382,46480,46480,4121,24,1057,30,782,571,6694,15,48,43,0
5501,694,82843,466,39809,240909,87020,730,36167,36167,3709,34,1575,30,1572,277,3981,1,38,33,0
4142,498,63435,126,36964,185233,80789,551,35461,35461,3461,45,1915,53,2006,420,5217,0,129,83,0
3036,298,24793,25,37967,161784,83470,537,35772,35772,3216,32,1931,36,1862,352,4686,0,87,40,0
3926,410,43935,49,37441,190176,82429,627,38507,38506,4293,54,1292,46,1271,270,3981,0,66,25,0
3244,317,28327,25,47945,328992,103516,730,41940,41941,4905,376,3048,373,3383,400,5426,2,118,88,0
3447,355,51372,82,37119,224782,81283,546,35706,35706,3849,2421,11821,2591,11799,275,3900,0,37,11,0
3557,375,28076,29,39098,210012,85234,2037,104162,104165,5811,5945,18717,5900,18768,258,3854,0,101,43,0
3619,358,37544,39,57725,449236,125767,741,40848,40843,4359,1002,3622,899,3286,832,8258,3,149,91,0
5531,681,74987,460,37791,291499,82654,561,38471,38474,3694,347,2338,326,2321,562,7629,0,225,131,0
2957,295,25811,28,37913,200892,83291,645,41168,41168,3920,97,366,102,357,441,6749,0,206,152,0
3036,295,24138,25,40648,224800,88561,571,38537,38535,3861,78,580,78,570,428,6750,0,131,64,0
3060,306,26439,29,37289,190794,82063,531,39437,39439,4142,693,2091,693,2112,435,6783,0,52,35,0
3036,296,25297,25,37254,185802,80985,552,38239,38239,3553,1735,6640,1733,6642,2666,12151,30,271,237,0
4234,437,53572,100,36771,187506,80539,552,39694,39692,3566,1250,13973,1248,13984,472,6750,0,317,191,0
3244,317,24659,24,42194,252270,91341,1665,57248,57249,4726,3226,16292,3248,16333,721,8987,1,278,239,0
3495,396,46841,52,38342,207566,83590,861,41540,41541,4304,2817,12126,2850,12411,447,6748,0,198,149,0
5653,552,67698,418,41747,267822,90581,650,39992,39991,3437,7323,24542,7445,24412,592,8467,1,91,21,0
3244,312,24609,25,38069,203648,83579,546,38533,38534,3519,5686,18819,5686,18930,480,6750,0,140,126,0
3060,316,28877,28,39129,224074,85459,954,47838,47837,4980,6270,20946,6249,20863,465,6750,0,175,96,0
3923,369,41731,75,48910,388138,105762,663,39614,39615,3483,5247,17116,5263,17097,548,8105,0,148,83,0
3036,292,26592,24,39040,311719,84813,669,41842,41841,4496,7120,28830,7127,28816,520,7538,0,192,154,0
3084,298,25898,25,43528,288998,95875,683,41266,41266,4369,2574,6499,2525,6500,443,6626,0,85,57,0
3036,293,26309,25,39845,250280,86649,557,39749,39750,3878,4650,17641,4671,17733,448,6783,0,156,104,0
5665,658,77126,442,39860,257678,85700,861,50914,50914,4711,3353,9937,3329,9873,508,7307,0,197,113,0
3244,312,28952,24,35447,218914,77583,1725,51691,51689,5370,1189,4841,1149,4745,522,7288,0,63,38,0
4312,459,57695,109,35804,198073,78604,724,39508,39509,3888,4678,14578,4650,14427,482,6776,0,242,224,0
3060,295,28056,25,35295,211893,77332,586,38099,38099,4071,5802,19404,5847,19747,572,8536,0,380,239,0
3569,380,46206,54,35480,173687,77746,679,43306,43306,4923,2140,7788,2042,7470,425,6411,0,321,177,0
3313,299,27973,25,40009,247224,87408,588,39105,39103,4092,363,1285,361,1281,450,6776,0,238,126,0
3060,293,26913,24,44535,301022,97442,1688,53709,53710,4125,802,2559,799,2556,548,7943,1,296,173,0
3980,404,44948,45,47521,347536,101820,858,41944,41945,4275,91,914,96,1027,460,6923,0,183,104,0
6540,772,86340,445,42435,329352,93983,610,38801,38801,3408,53,1088,49,969,505,6808,0,177,115,0
4834,582,32217,24,42380,336769,91622,637,43232,43232,4417,55,648,56,640,548,8167,0,281,157,0
4520,571,33236,25,38037,216108,82840,662,40442,40442,4220,1351,5323,1352,5405,522,7288,0,268,146,0
4675,509,34964,25,39471,240470,86049,577,38690,38690,3462,104,1329,100,1257,463,6776,0,120,65,0
4507,506,30349,24,37132,175695,80424,555,38306,38307,3770,2139,8473,2333,8756,456,6776,0,123,66,0
4544,528,34929,25,36495,212569,80113,559,38782,38782,4646,5783,17597,5705,17499,455,6927,0,158,87,0
8336,1724,135164,745,38017,231020,82528,554,39475,39474,4894,2164,7374,2054,7193,421,6134,0,249,195,0
7870,1168,106839,582,36583,173586,79892,519,38309,38310,3710,3620,16920,3621,17041,536,7850,0,418,309,0
5484,556,49943,97,36645,174693,80222,631,42614,42613,4269,50,540,47,416,609,8461,0,282,187,0
5027,510,38232,43,42342,237556,91466,1159,50392,50392,6146,85,424,82,415,496,7288,0,195,108,0
4984,497,39294,25,41351,237932,89519,1930,61488,61487,5836,399,1272,546,1440,565,8013,0,139,80,0
4660,469,33058,25,46218,272808,99615,1128,47454,47455,5251,3334,13110,3192,13024,434,6297,0,228,124,0
5373,539,49553,36,50303,363396,112593,674,39998,39998,4264,4571,38803,4639,39303,561,7949,0,110,55,0
4660,443,34524,25,39585,362822,86328,1738,55755,55755,4302,2097,39319,2027,38790,448,6776,0,104,52,0
4336,473,28747,24,39885,350509,86933,799,40689,40690,3945,686,20336,705,20843,562,7825,0,181,123,0
4678,462,31595,33,40356,385406,87827,608,38510,38755,3468,1473,13584,1608,13275,509,6843,0,135,86,0
4646,494,33197,24,36962,341179,81121,552,39288,39043,3608,2107,17911,1985,18483,457,6776,0,219,148,0
4969,468,34053,25,36457,263232,79593,571,38196,38196,3617,1052,14499,1040,14493,456,6956,0,168,106,0
5062,547,52987,52,36825,210180,81358,520,38086,38086,3985,1320,10129,1313,9466,423,6264,0,215,140,0
5485,589,39459,32,36868,163276,80142,525,38363,38363,3425,2164,18349,2214,18948,430,6264,0,211,122,0
4646,470,30730,24,44155,247746,94839,775,48182,48183,4832,3305,21400,3266,20721,644,9015,0,194,125,0
20468,3271,347426,3042,41112,245523,89362,1026,46630,46627,4916,4769,34545,4827,34662,456,6776,0,200,135,0
6074,727,69014,145,37179,219209,81426,1791,52138,52139,4773,3100,21137,3056,21243,563,7970,0,86,61,0
5167,605,48831,47,45294,313257,97636,824,39500,39501,5268,592,21995,555,22396,522,7288,0,153,96,0
4329,467,32655,24,42390,343928,94213,590,38550,38549,3498,573,18522,576,18008,426,6410,0,167,89,0
4632,466,34619,25,36848,316277,79891,561,38744,38744,3680,658,19277,682,19352,457,6297,0,60,10,0
4632,528,31382,24,39987,344861,87025,630,40476,40477,3847,976,18306,1068,18385,483,7322,0,167,110,0
4632,478,31802,24,37816,266980,83174,593,38501,38500,3421,8130,37706,8111,37499,446,6776,0,90,59,0
4734,508,30688,24,38535,225754,84097,1599,52098,52098,3744,4194,15585,4216,16203,464,6776,0,95,49,0
6148,719,62110,66,41488,270070,89494,846,44348,44349,4155,6479,29001,6359,28278,521,7288,0,76,40,0
4968,503,36452,24,36932,216861,81260,614,38545,38544,3550,2832,11854,2960,12149,462,6776,0,61,51,0
4963,559,45483,39,36850,201230,80172,600,38517,38516,3645,1586,6215,1453,5877,470,7005,0,196,172,0
14993,2397,247909,1935,42859,262363,93310,656,41093,41094,4333,672,2543,824,2680,610,8475,0,130,110,0
5132,503,37894,29,36821,217310,80627,665,41127,41127,3709,674,1710,518,1563,443,6776,0,77,42,0
5450,607,51994,101,37699,246484,83705,576,38430,38430,4202,1239,3459,1268,3750,444,6777,0,82,46,0
6800,867,89251,563,55856,433413,121090,890,47226,47226,5186,5665,18625,5659,18614,539,8155,0,156,93,0
31962,2899,375254,2074,99665,732022,359847,2844,186809,197247,6661,1381,5980,1561,5795,5035,91476,18,0,0,0
41798,5782,643824,3524,80521,1108910,209225,4181,170440,160883,17824,4717,19749,4681,19204,11452,93620,94,0,0,0
33282,6765,450178,2949,114055,1013637,297872,3020,177042,177034,19280,2940,12046,2902,12046,10069,126434,143,184,66,0
39165,6397,441665,3215,92045,884575,248287,3304,160229,160340,16736,2240,10936,2286,11080,6612,95081,94,4,0,0
39678,5039,468813,5694,79070,901136,196062,5162,142674,141754,9647,1877,8668,1804,8932,6973,123130,143,0,0,0
31587,4405,481717,2481,80113,881180,207815,2288,113800,114515,17413,2082,12978,2118,13180,10359,158042,110,0,0,0
26261,3868,468732,2722,93038,889681,225818,2758,167741,169023,14422,3046,11103,3050,10797,12457,174560,65,0,0,0
62567,4778,476578,2673,114389,1356928,275129,20094,1321293,1319999,80939,2998,13736,3020,13466,13657,193538,79,0,0,0
25660,3996,481041,2301,14325,79385,27117,3327,147806,147860,13833,1718,6522,1683,6667,7752,103163,167,0,0,0
32608,5485,398974,2084,18323,157172,35148,2970,136891,138027,11403,1559,6213,1579,6078,8939,135061,94,2,0,0
33640,5750,424347,2526,16991,124502,34846,4357,160590,159377,9634,2578,6978,2661,7199,12054,141832,70,0,0,0
40408,6581,408494,3152,14616,67232,25552,3146,109258,110803,6634,2510,7835,2430,7634,12137,139652,146,0,0,0
31749,5690,392668,2394,12705,89639,25341,3191,171164,170146,10972,1789,7265,1766,7168,5975,64152,63,5,6,0
39111,6597,427062,2493,14911,136328,26471,3826,157251,157286,10097,1351,6018,1310,5965,6476,58590,44,183,11,0
37262,5255,569909,2640,45682,369809,91903,3949,173209,172563,10767,1093,6759,1092,6771,8286,69138,146,151,4,0
