Branch-instructions,Branch-misses,Bus-cycles,Cache-misses,Cache-references,CPU-cycles,Instructions,L1 dcache load misses, L1 dcache loads,L1 dcache stores,L1 icache load misses,LLC-load-misses, LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,class
6199,1577,202788,1090,21504,189136,45194,2198,137431,141165,3913,3048,10265,3084,10399,9438,72622,279,5,5,1
2945,384,27433,58,73422,727122,152404,2404,111481,108032,7009,3445,16642,3427,16300,6541,71822,128,36,23,1
4335,895,54180,400,14869,63791,34265,375,18447,19637,2286,18,879,16,1004,2791,60458,15,15,3,1
2957,337,25052,45,147843,707447,361001,512,23336,24524,2907,477,3559,614,4257,4119,47598,11,388,201,1
3821,619,55888,447,119568,792058,250413,388,17959,19147,2248,2541,14145,2457,13687,3067,61639,8,8,5,1
6254,1250,125287,1123,14391,65450,32909,360,17444,18884,2218,2770,11310,2872,11884,3742,45830,6,152,131,1
4757,1290,84358,640,23426,289056,53043,2667,133192,137149,3929,3320,17882,3261,17264,3017,62732,11,16,4,1
15595,3751,265168,2288,14383,62768,33313,871,26141,27333,2925,292,1554,289,1185,3280,36002,5,5,2,1
3790,1030,61262,501,22244,252675,50310,2310,139727,143066,4281,206,1342,201,1467,923,5733,4,15,3,1
13434,3399,227941,1887,14913,66554,34420,2521,149301,153372,3785,97,1336,95,1471,3237,20680,47,5,2,1
38492,3104,357957,2346,13732,62900,31582,375,18432,19620,2240,11,909,6,1032,3155,64539,15,20,3,1
27590,3773,371980,3077,25217,289483,57290,1617,48991,48168,6998,5,1568,8,1357,3397,37232,6,21,3,1
2957,335,25350,43,236945,1300557,545128,2547,153695,157202,3864,11,992,9,851,318,4061,0,4,2,1
5681,1602,127444,885,239531,1350047,553189,2227,116373,113196,7029,250,1563,247,1520,323,3731,0,19,3,1
5700,1686,115314,792,17676,92923,40221,2383,149662,153285,4376,11,1626,12,1425,2823,55507,22,7,2,1
4140,1209,77194,596,146488,710610,352109,3078,114332,111119,7734,255,1238,256,1363,4662,54368,5,16,3,1
3391,495,47532,126,100032,609952,210773,402,17460,18651,2144,484,3009,481,2841,939,5924,3,5,2,1
5167,1222,97210,730,147560,706838,364867,885,26394,27584,2857,18,1115,18,1043,3040,61945,18,3,6,1
3794,561,62696,118,109491,657666,234276,2878,67696,66874,9245,131,2132,136,1933,4924,53080,5,335,191,1
7549,1862,182513,1252,14260,64740,34248,363,17955,19151,2235,12,605,10,702,321,3764,0,0,0,1
2955,329,25994,50,12306,87273,27870,375,19807,34180,3994,1423,10340,1426,10485,744,7868,1,135,48,1
4088,990,113771,718,20076,101284,39361,2415,154190,157789,3306,1113,5579,1211,5565,639,7034,0,15,3,1
3568,524,45873,123,20293,235456,42679,834,25256,26447,2805,12,926,10,857,330,3765,0,8,2,1
5477,1624,129710,932,24000,196456,53671,2449,153058,156789,3396,2228,10794,2258,11038,3081,63767,14,17,3,1
26031,4688,363882,3747,14228,65212,33725,2400,139468,143262,3803,2438,15097,2430,14799,3032,63423,9,6,2,1
18838,5069,342608,3651,25930,275256,55765,2503,107442,104044,7093,61,1312,58,1395,623,7245,0,2,6,1
21835,4338,318108,3622,142669,708709,355765,893,26124,27311,2987,11,1710,14,1468,603,6440,0,34,33,1
2956,347,25858,47,110234,681872,227141,3296,72615,71794,9231,12,886,11,1052,492,5840,0,6,8,1
2275,299,53879,54,11836,75779,25443,344,18376,19566,2218,14,1336,14,1085,326,3732,0,36,29,1
36827,2926,353250,2257,142183,708426,355628,468,21398,22587,2758,103,1374,101,1310,343,3729,0,5,5,1
38722,3285,365864,2375,163511,1166892,364739,365,18359,19551,2272,486,2761,489,2602,227,3123,0,36,25,1
32641,5476,484857,3641,55217,524994,162667,452,20728,21919,2676,21,739,18,867,391,4232,1,6,6,1
2957,341,33396,40,146408,708557,360527,455,20901,22089,2790,9,713,12,781,384,5466,0,149,122,1
3328,381,31860,81,105016,627769,220351,2418,152431,156410,3443,172,1232,169,1312,254,3684,0,7,9,1
8238,1303,122807,1316,149341,710577,364117,3411,112165,108402,10043,15,1118,13,1040,927,5947,5,17,4,1
4214,1170,79082,600,99209,637379,207719,407,19354,20543,2493,2333,10028,2359,10174,931,5730,5,6,2,1
12237,3052,204563,1734,13755,92881,28672,4008,85196,84155,12096,2691,10452,2725,10744,980,5924,5,12,3,1
4972,560,78324,457,11095,73105,18217,2488,126285,129963,4473,2884,16706,2925,16541,4145,26295,185,5,3,1
3808,401,52903,67,19451,137602,40506,3579,146629,143337,10800,2169,10132,2198,10379,3011,64201,11,22,3,1
5254,786,47537,48,21671,167818,46010,2453,148760,152642,3885,2735,17048,2744,16727,3391,35732,8,7,2,1
2956,321,25279,44,46677,380343,100914,3989,126019,122471,10095,407,3167,549,3820,3107,62872,11,0,0,1
4632,660,36030,48,19246,127307,38359,61,15753,15626,824,391,2490,394,2439,3363,43124,7,27,6,1
3600,459,41620,33,15436,122952,29982,661,26050,25746,3963,2116,11057,2143,11284,2924,61782,11,18,5,1
5785,1454,113574,1129,17419,127124,37391,57,15742,16761,802,3201,16985,3169,16651,3779,40396,3,19,4,1
13278,3170,219866,1855,45460,362985,97882,689,25978,24624,3833,2233,10818,2269,10946,319,3731,0,6,2,1
5089,534,70481,383,21822,168386,46118,128,20334,20208,1272,2117,14450,2078,14090,1216,8706,1,19,4,1
