Branch-instructions,Branch-misses,Bus-cycles,Cache-misses,Cache-references,CPU-cycles,Instructions,L1 dcache load misses, L1 dcache loads,L1 dcache stores,L1 icache load misses,LLC-load-misses, LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,class
88363,7024,1146612,7581,203978,779811,272876,2525,92659,93850,7263,4300,12907,4505,13661,7070,61652,0,322,417,1
80825,217,357836,51,403446,1429855,506175,4656,168715,167894,10119,6867,23957,6813,23434,10191,88007,0,554,583,1
38997,3275,356253,2332,253985,932500,321807,1789,87990,87988,9633,5484,16293,5461,16257,4593,40271,1,307,287,1
23906,3176,302180,2413,17093,146729,36819,941,27679,29120,3163,268,2686,410,3359,6946,60100,0,14,3,1
39328,3206,357674,2198,143144,706943,355246,428,20115,21552,2888,3617,17394,3577,16916,8767,76031,0,498,310,1
84322,163,357130,25,145074,707168,357097,359,17633,18820,2389,2423,12412,2366,12434,7052,61366,0,374,285,1
84698,163,357559,25,19572,185779,41781,372,18472,19663,2380,2453,11704,2450,11765,6880,59840,2,3,6,1
84577,160,355620,27,149571,709661,366839,626,25024,26212,3648,2474,10454,2501,10676,7101,61675,2,1354,973,1
6001,1516,122576,1078,145828,706018,353054,338,17424,18615,2255,2102,10068,2136,10268,227,22874,8,2,5,1
17409,4571,360065,3037,19621,230131,40921,2315,150433,154284,3523,2469,10100,2504,10350,7145,62102,1,1121,819,1
38793,3419,356146,2361,16517,126328,36181,2406,150139,153907,4064,20,696,15,601,11441,99047,1,8,7,1
33675,5731,465097,4584,79100,794021,181487,2375,153540,157096,3511,2738,11455,2782,12009,9158,79371,3,1521,1207,1
37746,2975,355812,2216,16882,148505,36392,2283,144835,148630,4641,283,3069,414,3451,8902,77181,3,2,5,1
39503,6628,574083,5170,23493,220807,53223,413,19925,20871,2799,2511,10463,2530,10705,420,25384,14,280,172,1
37759,3121,357184,2379,132262,705383,340734,2406,153228,157003,3572,891,9033,1043,9737,358,98040,34,14,5,1
